"Variable / Field Name"	"Form Name"	"Section Header"	"Field Type"	"Field Label"	"Choices, Calculations, OR Slider Labels"	"Field Note"	"Text Validation Type OR Show Slider Number"	"Text Validation Min"	"Text Validation Max"	Identifier?	"Branching Logic (Show field only if...)"	"Required Field?"	"Custom Alignment"	"Question Number (surveys only)"	"Matrix Group Name"	"Matrix Ranking?"	"Field Annotation"
covid_close_contact	covid19_screening		radio	"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">During the past 14 days, have you been in close contact (within 6 feet for 15 minutes or more) with a confirmed case or someone with symptoms of COVID-19?</span></p></div>"	"1, No | 2, Yes, I was in contact"							y					
demographics_subject_id	demographics_survey		descriptive	"Subject ID: [subject_id]"													
demographics_date	demographics_survey		descriptive	"PRE-SESSION DATE: [presession_date]"													
age	demographics_survey	"<div class=""rich-text-field-label""><p>Please answer the following questions about yourself.</p></div>"	text	"Your age in years:"								y					
sex	demographics_survey		radio	"What is your sex?"	"1, Male | 2, Female | 3, Other | 4, Prefer not to say"							y					
hisp	demographics_survey		yesno	"Are you of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture of origin (Hispanic)?"								y					
race	demographics_survey		radio	"Which best describes your racial background?"	"0, European American | 1, African American | 2, Asian American | 3, Native Hawaiian or Pacific Islander | 4, Non-Hispanic White | 5, Other"							y					
income	demographics_survey		radio	"What is your typical yearly household income before taxes? "	"0, $0 - $25,000 | 1, $25,000 - $ 50,000 | 2, $50,000 - $75,000 | 3, $75,000 - $ 100,000 | 4, $100,000 - $150,000 | 5, Greater than $150,000"							y					
edu	demographics_survey		radio	"What is the highest level of education you have completed? "	"0, Less than high-school | 1, High-school | 2, Professional program | 3, Some college | 4, Undergraduate degree | 5, Graduate degree"							y					
exp	demographics_survey		radio	"How much experience do you have playing video games?"	"0, Never played them | 1, Have played them occasionally | 2, Have played them fairly often | 3, Have played them regularly for years"							y					
exp_mc	demographics_survey		radio	"How much experience do you have playing Minecraft?"	"0, Never played it | 1, Have played it occasionally | 2, Have played it fairly often | 3, Have played it regularly for years"							y					
handedness	demographics_survey		radio	"Which is your dominant hand?"	"1, Right-handed | 2, Left-handed | 3, Ambidextrous"							y					
trackpad_preference	demographics_survey		radio	"Do you prefer using a trackpad or mouse when working on the computer?"	"1, Trackpad | 2, Mouse | 3, Doesn't matter"							y					
sph_label	demographics_survey		radio	"<div style=""background-color: gainsboro""><font color=""blue"">SPEECH/HEARING & LANGUAGE</font></div>"													
shl_impairements	demographics_survey		radio	"Do you have any speech/hearing or language impairments?"	"1, Yes | 0, No"							y					
shl_impairment_specify	demographics_survey		text	"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;""><em>Please specify the speech/hearing or language impairment?</em></span></p></div>"							"[shl_impairements] = '1'"						
shl_impairment_agediagnosis	demographics_survey		text	"When was the first time you got diagnosed with the speech/hearing or language impairment?"							"[shl_impairements] = '1'"						
shl_impairment_therapy	demographics_survey		radio	"Do you currently see a speech therapist or other healthcare professional for the impairment?"	"1, Yes | 0, No"						"[shl_impairements] = '1'"						
first_language	demographics_survey		text	"What would you say is your first language(s)?"								y					
languages_spoken	demographics_survey		text	"What languages do you speak on a daily/weekly/monthly basis?"								y					
language_age_learned	demographics_survey		text	"<div class=""rich-text-field-label""><p>At what age did you learn the language? (<em>For example, if you learned Spanish when you were 5 years-old, then enter the name of the language and in parentheses the age; so Spanish (5-years-old).</em>)</p></div>"		"Please write in the following format: language (age)"						y					
countries_live_one_year	demographics_survey		text	"What countries did you live in for more than one year?"								y					
major_schooling_country	demographics_survey		text	"Where did you complete the majority of your schooling?"								y					
health_label	demographics_survey		radio	" <div style=""background-color: gainsboro""><font color=""blue"">HEALTH</font></div>"													
health_concussion	demographics_survey	"Have you ever been diagnosed with or experienced any of the following?"	radio	Concussion	"1, Yes | 0, No"							y			health_questions		
health_seizure	demographics_survey		radio	Seizure	"1, Yes | 0, No"							y			health_questions		
health_trauma	demographics_survey		radio	"Other neurological trauma (e.g., traumatic brain injury)"	"1, Yes | 0, No"							y			health_questions		
health_other_trauma_specify	demographics_survey		text	"<div class=""rich-text-field-label""><p><em><span style=""color: #e03e2d;"">Please specify the other neurological trauma and/or condition.</span></em></p></div>"							"[health_trauma] = '1'"						
health_medications	demographics_survey		radio	"Are you currently taking any psychoactive medication (e.g., anti-depressants, ADHD medication, etc.)?"	"1, Yes | 0, No"							y					
health_vision	demographics_survey		radio	"Do you have any visual impairments other than wearing glasses/contacts, such as partial or full colorblindness?"	"1, Yes | 0, No"							y					
health_vision_specify	demographics_survey		text	"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;""><em>Please specify the visual impairment.</em></span></p></div>"							"[health_vision] = '1'"						
bfi2_subject_id	big_five_inventory_2_short_form_bfi2s		descriptive	"Subject ID: [subject_id]"								y					
bfi2_date	big_five_inventory_2_short_form_bfi2s		descriptive	"PRE-SESSION DATE: [presession_date]"													
bfi2_instructions	big_five_inventory_2_short_form_bfi2s		descriptive	"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please write a number next to each statement to indicate the extent to which you agree or disagree with that statement.</span></p> <p><span style=""color: #e03e2d;"">    1 - Disagree strongly</span></p> <p><span style=""color: #e03e2d;"">    2 - Disagree a little</span></p> <p><span style=""color: #e03e2d;"">    3 - Neutral; no opinion</span></p> <p><span style=""color: #e03e2d;"">    4 - Agree a little</span></p> <p><span style=""color: #e03e2d;"">    5 - Agree strongly</span></p></div>"													
bfi2_q1	big_five_inventory_2_short_form_bfi2s	"I am someone who..."	radio	"Tends to be quiet."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		1	bfi2_30questions		
bfi2_q2	big_five_inventory_2_short_form_bfi2s		radio	"Is compassionate, has a soft heart."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		2	bfi2_30questions		
bfi2_q3	big_five_inventory_2_short_form_bfi2s		radio	"Tends to be disorganized."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		3	bfi2_30questions		
bfi2_q4	big_five_inventory_2_short_form_bfi2s		radio	"Worries a lot."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		4	bfi2_30questions		
bfi2_q5	big_five_inventory_2_short_form_bfi2s		radio	"Is fascinated by art, music, or literature."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		5	bfi2_30questions		
bfi2_q6	big_five_inventory_2_short_form_bfi2s		radio	"Is dominant, acts as a leader."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		6	bfi2_30questions		
bfi2_q7	big_five_inventory_2_short_form_bfi2s		radio	"Is sometimes rude to others."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		7	bfi2_30questions		
bfi2_q8	big_five_inventory_2_short_form_bfi2s		radio	"Has difficulty getting started on tasks."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		8	bfi2_30questions		
bfi2_q9	big_five_inventory_2_short_form_bfi2s		radio	"Tends to feel depressed, blue."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		9	bfi2_30questions		
bfi2_q10	big_five_inventory_2_short_form_bfi2s		radio	"Has little interest in abstract ideas."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		10	bfi2_30questions		
bfi2_q11	big_five_inventory_2_short_form_bfi2s		radio	"Is full of energy."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		11	bfi2_30questions		
bfi2_q12	big_five_inventory_2_short_form_bfi2s		radio	"Assumes the best about people."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		12	bfi2_30questions		
bfi2_q13	big_five_inventory_2_short_form_bfi2s		radio	"Is reliable, can always be counted on."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		13	bfi2_30questions		
bfi2_q14	big_five_inventory_2_short_form_bfi2s		radio	"Is emotionally stable, not easily upset."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		14	bfi2_30questions		
bfi2_q15	big_five_inventory_2_short_form_bfi2s		radio	"Is original, comes up with new ideas."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		15	bfi2_30questions		
bfi2_q16	big_five_inventory_2_short_form_bfi2s		radio	"Is outgoing, sociable."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		16	bfi2_30questions		
bfi2_q17	big_five_inventory_2_short_form_bfi2s		radio	"Can be cold and uncaring."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		17	bfi2_30questions		
bfi2_q18	big_five_inventory_2_short_form_bfi2s		radio	"Keeps things neat and tidy."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		18	bfi2_30questions		
bfi2_q19	big_five_inventory_2_short_form_bfi2s		radio	"Is relaxed, handles stress well."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		19	bfi2_30questions		
bfi2_q20	big_five_inventory_2_short_form_bfi2s		radio	"Has few artistic interests."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		20	bfi2_30questions		
bfi2_q21	big_five_inventory_2_short_form_bfi2s		radio	"Prefers to have others take charge."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		21	bfi2_30questions		
bfi2_q22	big_five_inventory_2_short_form_bfi2s		radio	"Is respectful, treats others with respect."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		22	bfi2_30questions		
bfi2_q23	big_five_inventory_2_short_form_bfi2s		radio	"Is persistent, works until the task is finished."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		23	bfi2_30questions		
bfi2_q24	big_five_inventory_2_short_form_bfi2s		radio	"Feels secure, comfortable with self."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		24	bfi2_30questions		
bfi2_q25	big_five_inventory_2_short_form_bfi2s		radio	"Is complex, a deep thinker."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		25	bfi2_30questions		
bfi2_q26	big_five_inventory_2_short_form_bfi2s		radio	"Is less active than other people."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		26	bfi2_30questions		
bfi2_q27	big_five_inventory_2_short_form_bfi2s		radio	"Tends to find fault with others."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		27	bfi2_30questions		
bfi2_q28	big_five_inventory_2_short_form_bfi2s		radio	"Can be somewhat careless."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		28	bfi2_30questions		
bfi2_q29	big_five_inventory_2_short_form_bfi2s		radio	"Is temperamental, gets emotional easily."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		29	bfi2_30questions		
bfi2_q30	big_five_inventory_2_short_form_bfi2s		radio	"Has little creativity."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5"							y		30	bfi2_30questions		
attach_subject_id	attachment_style_questionnaire		descriptive	"Subject ID: [subject_id]"													
attach_date	attachment_style_questionnaire		descriptive	"PRE-SESSION DATE: [presession_date]"													
attachment_instructions	attachment_style_questionnaire		descriptive	"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please rate the following statements on a scale of <span style=""color: #e03e2d;"">1 (totally disagree)</span> to <span style=""color: #e03e2d;"">6 (totally agree)</span>.</span></p></div>"													
attach_q1	attachment_style_questionnaire		radio	"I find it relatively easy to get close to other people."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		1	attach_12questions		
attach_q2	attachment_style_questionnaire		radio	"I feel confident that other people will be there for me when I need them."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		2	attach_12questions		
attach_q3	attachment_style_questionnaire		radio	"I feel confident about relating to others."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		3	attach_12questions		
attach_q4	attachment_style_questionnaire		radio	"I am confident that other people will like and respect me."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		4	attach_12questions		
attach_q5	attachment_style_questionnaire		radio	"I find that others are reluctant to get as close as I would like."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		5	attach_12questions		
attach_q6	attachment_style_questionnaire		radio	"I worry that others won't care about me as much as I care about them."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		6	attach_12questions		
attach_q7	attachment_style_questionnaire		radio	"I worry a lot about my relationships."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		7	attach_12questions		
attach_q8	attachment_style_questionnaire		radio	"I often feel left out or alone."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		8	attach_12questions		
attach_q9	attachment_style_questionnaire		radio	"I prefer to keep to myself."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		9	attach_12questions		
attach_q10	attachment_style_questionnaire		radio	"I find it hard to trust other people."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		10	attach_12questions		
attach_q11	attachment_style_questionnaire		radio	"I have mixed feelings about being close to others."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		11	attach_12questions		
attach_q12	attachment_style_questionnaire		radio	"While I want to get close to others, I feel uneasy about it."	"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6"							y		12	attach_12questions		
notes_subject_id	presession_notes_for_research_team_only		descriptive	"Subject ID: [subject_id]"								y					
notes_presession_date	presession_notes_for_research_team_only		text	"PRE-SESSION DATE: [presession_date]"			datetime_mdy					y					
notes_presession_exp	presession_notes_for_research_team_only		checkbox	"<div class=""rich-text-field-label""><p>Pre-Session Experimenter(s)</p></div>"	"1, Paloma Bernardo | 2, Savannah Boyd | 3, Valeria Pfeifer | 4, Eric Andrews | 5, Diheng Zhang | 6, Ashley Minks | 7, Daria Letson"							y					
notes_presession_consentedby	presession_notes_for_research_team_only		checkbox	"<div class=""rich-text-field-label""><p>Consent obtained by:</p></div>"	"1, Paloma Bernardo | 2, Savannah Boyd | 3, Valeria Pfeifer | 4, Payal Khosla | 5, Eric Andrews | 6, Diheng Zhang"							y					
notes_credit_type	presession_notes_for_research_team_only		checkbox	"<div class=""rich-text-field-label""><p>Credit Type</p></div>"	"1, SONA | 2, Amazon gift card"												
notes_credit_granted	presession_notes_for_research_team_only		checkbox	"<div class=""rich-text-field-label""><p>Credit granted:</p></div>"	"1, Yes | 2, In process"												
notes_speech_baseline	presession_notes_for_research_team_only		notes	"<div class=""rich-text-field-label""><p>Speech Baseline NOTES</p></div>"													
notes_other	presession_notes_for_research_team_only		notes	"<div class=""rich-text-field-label""><p>Other Notes</p></div>"													
session1notes_subject_id	session_1_notes_for_research_team_only		descriptive	"Subject ID: [subject_id]"								y					
session1notes_session_date	session_1_notes_for_research_team_only		text	"Session Date & Time"			datetime_mdy					y					
notes_session_exp_v2	session_1_notes_for_research_team_only		checkbox	"<div class=""rich-text-field-label""><p>Session Experimenter(s)</p></div>"	"1, Paloma Bernardo | 2, Savannah Boyd | 3, Valeria Pfeifer"							y					
notes_credit_type_v2	session_1_notes_for_research_team_only		checkbox	"<div class=""rich-text-field-label""><p>Credit Type</p></div>"	"1, SONA | 2, Amazon gift card"												
notes_credit_granted_v2	session_1_notes_for_research_team_only		checkbox	"<div class=""rich-text-field-label""><p>Credit granted:</p></div>"	"1, Yes | 2, In process"												
notes_other_v2	session_1_notes_for_research_team_only		notes	"<div class=""rich-text-field-label""><p>Other Notes</p></div>"													
note_session_observations_v2	session_1_notes_for_research_team_only		file	"<div class=""rich-text-field-label""><p>Testing Session #1 Observations (<em><span style=""color: #e03e2d;"">upload the hardocpy</span></em>)</p></div>"		PDF											
consent_info1_v2	informed_consent_form_multiple_subjecttwo_sessions		descriptive	"<div class=""rich-text-field-label""><p style=""text-align: center; tab-stops: .5in;""><strong>The University of Arizona Consent to Participate in Research</strong></p> <table style=""margin-left: 3.9pt; border-collapse: collapse; border: none;""> <tbody> <tr style=""height: 15.0pt;""> <td style=""width: 451.5pt; border: none; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;""> <p style=""margin: 6.0pt 0in 6.0pt 0in;""><strong>Study Title: ToMCAT: Theory of Mind-based Cognitive Architecture for Teams<br /></strong></p> </td> </tr> <tr style=""height: .3in;""> <td style=""width: 451.5pt; border: none; padding: 0in 5.4pt 0in 5.4pt; height: .3in;""> <p style=""margin: 6.0pt 0in 6.0pt 0in;""><strong>Principal Investigator: Emily Butler, PhD</strong></p> </td> </tr> <tr style=""height: 27.75pt;""> <td style=""width: 451.5pt; border: none; padding: 0in 5.4pt 0in 5.4pt; height: 27.75pt;""> <p style=""margin: 6.0pt 0in 6.0pt 0in;""><strong>Sponsor: This research is funded by the Department of Defense.<br /></strong></p> </td> </tr> </tbody> </table> <p> </p></div>"													
